experiment,level,gamma_coefficient,gamma_exponent,gamma,n_steps,completed,path
figure_scripts,residue,2,-2,0.02,18,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_3/reweighting_gamma_2x10^-2per_iteration_output.dat
figure_scripts,residue,2,-2,0.02,17,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_1/reweighting_gamma_2x10^-2per_iteration_output.dat
figure_scripts,residue,2,-2,0.02,15,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_2/reweighting_gamma_2x10^-2per_iteration_output.dat
figure_scripts,residue,2,-2,0.02,15,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_3/reweighting_gamma_2x10^-2per_iteration_output.dat
figure_scripts,residue,3,-2,0.03,32,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_1/reweighting_gamma_3x10^-2per_iteration_output.dat
figure_scripts,residue,3,-2,0.03,32,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_2/reweighting_gamma_3x10^-2per_iteration_output.dat
figure_scripts,residue,3,-2,0.03,33,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_3/reweighting_gamma_3x10^-2per_iteration_output.dat
figure_scripts,residue,3,-2,0.03,32,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_1/reweighting_gamma_3x10^-2per_iteration_output.dat
figure_scripts,residue,3,-2,0.03,29,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_2/reweighting_gamma_3x10^-2per_iteration_output.dat
figure_scripts,residue,3,-2,0.03,29,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_3/reweighting_gamma_3x10^-2per_iteration_output.dat
figure_scripts,residue,4,-2,0.04,46,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_1/reweighting_gamma_4x10^-2per_iteration_output.dat
figure_scripts,residue,4,-2,0.04,46,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_2/reweighting_gamma_4x10^-2per_iteration_output.dat
figure_scripts,residue,4,-2,0.04,48,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_3/reweighting_gamma_4x10^-2per_iteration_output.dat
figure_scripts,residue,4,-2,0.04,45,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_1/reweighting_gamma_4x10^-2per_iteration_output.dat
figure_scripts,residue,4,-2,0.04,42,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_2/reweighting_gamma_4x10^-2per_iteration_output.dat
figure_scripts,residue,4,-2,0.04,42,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_3/reweighting_gamma_4x10^-2per_iteration_output.dat
figure_scripts,residue,5,-2,0.05,60,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_1/reweighting_gamma_5x10^-2per_iteration_output.dat
figure_scripts,residue,5,-2,0.05,59,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_2/reweighting_gamma_5x10^-2per_iteration_output.dat
figure_scripts,residue,5,-2,0.05,61,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_3/reweighting_gamma_5x10^-2per_iteration_output.dat
figure_scripts,residue,5,-2,0.05,58,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_1/reweighting_gamma_5x10^-2per_iteration_output.dat
figure_scripts,residue,5,-2,0.05,54,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_2/reweighting_gamma_5x10^-2per_iteration_output.dat
figure_scripts,residue,5,-2,0.05,55,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_3/reweighting_gamma_5x10^-2per_iteration_output.dat
figure_scripts,residue,6,-2,0.06,73,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_1/reweighting_gamma_6x10^-2per_iteration_output.dat
figure_scripts,residue,6,-2,0.06,72,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_2/reweighting_gamma_6x10^-2per_iteration_output.dat
figure_scripts,residue,6,-2,0.06,75,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_3/reweighting_gamma_6x10^-2per_iteration_output.dat
figure_scripts,residue,6,-2,0.06,71,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_1/reweighting_gamma_6x10^-2per_iteration_output.dat
figure_scripts,residue,6,-2,0.06,66,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_2/reweighting_gamma_6x10^-2per_iteration_output.dat
figure_scripts,residue,6,-2,0.06,67,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_3/reweighting_gamma_6x10^-2per_iteration_output.dat
figure_scripts,residue,7,-2,0.07,86,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_1/reweighting_gamma_7x10^-2per_iteration_output.dat
figure_scripts,residue,7,-2,0.07,84,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_2/reweighting_gamma_7x10^-2per_iteration_output.dat
figure_scripts,residue,7,-2,0.07,88,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_3/reweighting_gamma_7x10^-2per_iteration_output.dat
figure_scripts,residue,7,-2,0.07,83,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_1/reweighting_gamma_7x10^-2per_iteration_output.dat
figure_scripts,residue,7,-2,0.07,78,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_2/reweighting_gamma_7x10^-2per_iteration_output.dat
figure_scripts,residue,7,-2,0.07,78,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_3/reweighting_gamma_7x10^-2per_iteration_output.dat
figure_scripts,residue,8,-2,0.08,98,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_1/reweighting_gamma_8x10^-2per_iteration_output.dat
figure_scripts,residue,8,-2,0.08,97,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_2/reweighting_gamma_8x10^-2per_iteration_output.dat
figure_scripts,residue,8,-2,0.08,101,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/complete_dataset/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_3/reweighting_gamma_8x10^-2per_iteration_output.dat
figure_scripts,residue,8,-2,0.08,95,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_1/reweighting_gamma_8x10^-2per_iteration_output.dat
figure_scripts,residue,8,-2,0.08,89,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_2/reweighting_gamma_8x10^-2per_iteration_output.dat
figure_scripts,residue,8,-2,0.08,90,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/gamma1_9_exp-2_1/data/TeaA_auto_VAL/Benchmark/RW_bench/TeaA_auto_VAL_RW_bench_r_naive_random/train_TeaA_auto_VAL_3/reweighting_gamma_8x10^-2per_iteration_output.dat
data,residue,1,-1,0.1,281,True,/home/alexi/Documents/ValDX/data/BPTI_TFES/Benchmark/RW_bench/BPTI_TFES_RW_bench_R3_k_sequence/train_BPTI_TFES_1/reweighting_gamma_1x10^-1per_iteration_output.dat
data,residue,1,-1,0.1,335,True,/home/alexi/Documents/ValDX/data/BPTI_TFES/Benchmark/RW_bench/BPTI_TFES_RW_bench_R3_k_sequence/train_BPTI_TFES_2/reweighting_gamma_1x10^-1per_iteration_output.dat
data,residue,1,-1,0.1,305,True,/home/alexi/Documents/ValDX/data/BPTI_TFES/Benchmark/RW_bench/BPTI_TFES_RW_bench_R3_k_sequence/train_BPTI_TFES_3/reweighting_gamma_1x10^-1per_iteration_output.dat
data,residue,1,-1,0.1,320,True,/home/alexi/Documents/ValDX/data/BPTI_TFES/Benchmark/RW_bench/BPTI_TFES_RW_bench_Sp_res_neighbours/train_BPTI_TFES_1/reweighting_gamma_1x10^-1per_iteration_output.dat
data,residue,1,-1,0.1,314,True,/home/alexi/Documents/ValDX/data/BPTI_TFES/Benchmark/RW_bench/BPTI_TFES_RW_bench_Sp_res_neighbours/train_BPTI_TFES_2/reweighting_gamma_1x10^-1per_iteration_output.dat
data,residue,1,-1,0.1,334,True,/home/alexi/Documents/ValDX/data/BPTI_TFES/Benchmark/RW_bench/BPTI_TFES_RW_bench_Sp_res_neighbours/train_BPTI_TFES_3/reweighting_gamma_1x10^-1per_iteration_output.dat
data,residue,1,-1,0.1,239,True,/home/alexi/Documents/ValDX/data/BPTI_TFES/Benchmark/RW_bench/BPTI_TFES_RW_bench_r_naive_random/train_BPTI_TFES_1/reweighting_gamma_1x10^-1per_iteration_output.dat
data,residue,1,-1,0.1,419,True,/home/alexi/Documents/ValDX/data/BPTI_TFES/Benchmark/RW_bench/BPTI_TFES_RW_bench_r_naive_random/train_BPTI_TFES_2/reweighting_gamma_1x10^-1per_iteration_output.dat
data,residue,1,-1,0.1,311,True,/home/alexi/Documents/ValDX/data/BPTI_TFES/Benchmark/RW_bench/BPTI_TFES_RW_bench_r_naive_random/train_BPTI_TFES_3/reweighting_gamma_1x10^-1per_iteration_output.dat
data,residue,1,-1,0.1,414,True,/home/alexi/Documents/ValDX/data/BPTI_TFES/Benchmark/RW_bench/BPTI_TFES_RW_bench_s_naive_sequential/train_BPTI_TFES_1/reweighting_gamma_1x10^-1per_iteration_output.dat
data,residue,1,-1,0.1,347,True,/home/alexi/Documents/ValDX/data/BPTI_TFES/Benchmark/RW_bench/BPTI_TFES_RW_bench_s_naive_sequential/train_BPTI_TFES_2/reweighting_gamma_1x10^-1per_iteration_output.dat
data,residue,1,-1,0.1,420,True,/home/alexi/Documents/ValDX/data/BPTI_TFES/Benchmark/RW_bench/BPTI_TFES_RW_bench_s_naive_sequential/train_BPTI_TFES_3/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,109,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/complete_coverage/data/TeaA_ISO_bi/Benchmark/RW_bench/TeaA_ISO_bi_RW_bench_R3_k_sequence/train_TeaA_ISO_bi_1/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,109,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/complete_coverage/data/TeaA_ISO_bi/Benchmark/RW_bench/TeaA_ISO_bi_RW_bench_Sp_res_neighbours/train_TeaA_ISO_bi_1/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,109,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/complete_coverage/data/TeaA_ISO_bi/Benchmark/RW_bench/TeaA_ISO_bi_RW_bench_r_naive_random/train_TeaA_ISO_bi_1/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,109,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/complete_coverage/data/TeaA_ISO_bi/Benchmark/RW_bench/TeaA_ISO_bi_RW_bench_s_naive_sequential/train_TeaA_ISO_bi_1/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,118,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/complete_coverage/data/TeaA_ISO_tri/Benchmark/RW_bench/TeaA_ISO_tri_RW_bench_R3_k_sequence/train_TeaA_ISO_tri_1/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,118,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/complete_coverage/data/TeaA_ISO_tri/Benchmark/RW_bench/TeaA_ISO_tri_RW_bench_Sp_res_neighbours/train_TeaA_ISO_tri_1/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,118,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/complete_coverage/data/TeaA_ISO_tri/Benchmark/RW_bench/TeaA_ISO_tri_RW_bench_r_naive_random/train_TeaA_ISO_tri_1/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,118,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/complete_coverage/data/TeaA_ISO_tri/Benchmark/RW_bench/TeaA_ISO_tri_RW_bench_s_naive_sequential/train_TeaA_ISO_tri_1/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,99,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/data/TeaA_ISO_bi/Benchmark/BVRW_bench/TeaA_ISO_bi_BVRW_bench_R3_k_sequence/train_TeaA_ISO_bi_1/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,68,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/data/TeaA_ISO_bi/Benchmark/BVRW_bench/TeaA_ISO_bi_BVRW_bench_R3_k_sequence/train_TeaA_ISO_bi_2/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,92,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/data/TeaA_ISO_bi/Benchmark/BVRW_bench/TeaA_ISO_bi_BVRW_bench_R3_k_sequence/train_TeaA_ISO_bi_3/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,91,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/data/TeaA_ISO_bi/Benchmark/BVRW_bench/TeaA_ISO_bi_BVRW_bench_Sp_res_neighbours/train_TeaA_ISO_bi_1/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,121,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/data/TeaA_ISO_bi/Benchmark/BVRW_bench/TeaA_ISO_bi_BVRW_bench_Sp_res_neighbours/train_TeaA_ISO_bi_2/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,89,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/data/TeaA_ISO_bi/Benchmark/BVRW_bench/TeaA_ISO_bi_BVRW_bench_Sp_res_neighbours/train_TeaA_ISO_bi_3/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,107,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/data/TeaA_ISO_bi/Benchmark/RW_bench/TeaA_ISO_bi_RW_bench_R3_k_sequence/train_TeaA_ISO_bi_1/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,86,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/data/TeaA_ISO_bi/Benchmark/RW_bench/TeaA_ISO_bi_RW_bench_R3_k_sequence/train_TeaA_ISO_bi_2/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,100,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/data/TeaA_ISO_bi/Benchmark/RW_bench/TeaA_ISO_bi_RW_bench_R3_k_sequence/train_TeaA_ISO_bi_3/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,108,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/data/TeaA_ISO_bi/Benchmark/RW_bench/TeaA_ISO_bi_RW_bench_Sp_res_neighbours/train_TeaA_ISO_bi_1/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,136,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/data/TeaA_ISO_bi/Benchmark/RW_bench/TeaA_ISO_bi_RW_bench_Sp_res_neighbours/train_TeaA_ISO_bi_2/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,107,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/data/TeaA_ISO_bi/Benchmark/RW_bench/TeaA_ISO_bi_RW_bench_Sp_res_neighbours/train_TeaA_ISO_bi_3/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,108,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/data/TeaA_ISO_tri/Benchmark/BVRW_bench/TeaA_ISO_tri_BVRW_bench_R3_k_sequence/train_TeaA_ISO_tri_1/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,77,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/data/TeaA_ISO_tri/Benchmark/BVRW_bench/TeaA_ISO_tri_BVRW_bench_R3_k_sequence/train_TeaA_ISO_tri_2/reweighting_gamma_1x10^-1per_iteration_output.dat
figure_scripts,residue,1,-1,0.1,99,True,/home/alexi/Documents/ValDX/figure_scripts/jaxent_autovalidation/TeaA/bi_tri_modal/data/TeaA_ISO_tri/Benchmark/BVRW_bench/TeaA_ISO_tri_BVRW_bench_R3_k_sequence/train_TeaA_ISO_tri_3/reweighting_gamma_1x10^-1per_iteration_output.dat
